leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,status
Sick Leave,3,12,0,2,Approved
Annual Leave,7,9,3,7,Rejected
Casual Leave,1,2,0,12,Approved
Annual Leave,7,5,6,11,Approved
Casual Leave,1,8,5,11,Rejected
Sick Leave,10,8,3,8,Approved
Casual Leave,4,5,0,6,Rejected
Sick Leave,3,4,5,8,Approved
Sick Leave,4,2,1,5,Approved
Annual Leave,10,12,0,8,Approved
Annual Leave,14,2,6,9,Approved
Casual Leave,4,8,0,3,Approved
Annual Leave,21,8,6,2,Approved
Annual Leave,10,7,1,6,Rejected
Sick Leave,3,2,2,0,Approved
Sick Leave,3,9,1,8,Approved
Sick Leave,2,2,5,13,Rejected
Sick Leave,1,4,1,14,Approved
Annual Leave,5,1,0,7,Approved
Casual Leave,2,8,2,13,Rejected
Sick Leave,3,10,5,1,Approved
Sick Leave,2,10,0,7,Approved
Annual Leave,14,10,4,10,Rejected
Casual Leave,2,2,0,14,Approved
Sick Leave,1,4,2,9,Approved
Sick Leave,5,3,2,3,Approved
Annual Leave,5,5,4,15,Approved
Sick Leave,3,11,2,5,Approved
Casual Leave,2,10,4,4,Approved
Annual Leave,14,7,4,4,Rejected
Casual Leave,1,11,6,7,Approved
Casual Leave,1,5,6,7,Approved
Casual Leave,4,11,6,10,Rejected
Annual Leave,7,6,3,3,Approved
Annual Leave,7,12,5,6,Rejected
Casual Leave,2,11,3,10,Approved
Casual Leave,1,7,4,0,Approved
Sick Leave,3,9,3,5,Approved
Sick Leave,1,3,0,1,Approved
Annual Leave,5,7,3,12,Approved
Annual Leave,14,8,0,7,Approved
Casual Leave,2,3,5,15,Rejected
Sick Leave,1,12,2,7,Approved
Sick Leave,2,2,3,13,Approved
Casual Leave,3,1,2,9,Rejected
Casual Leave,2,1,3,10,Approved
Annual Leave,3,10,5,0,Rejected
Casual Leave,1,6,2,12,Approved
Sick Leave,4,11,0,1,Approved
Sick Leave,3,10,1,14,Approved
Sick Leave,2,5,4,12,Approved
Annual Leave,10,1,2,13,Rejected
Annual Leave,7,8,5,4,Rejected
Casual Leave,1,4,6,2,Approved
Sick Leave,4,8,1,11,Rejected
Sick Leave,3,12,3,15,Rejected
Sick Leave,2,7,5,7,Approved
Annual Leave,5,8,2,9,Approved
Casual Leave,5,12,4,9,Approved
Sick Leave,3,1,4,9,Rejected
Casual Leave,5,8,2,5,Approved
Annual Leave,3,11,0,4,Approved
Annual Leave,7,4,6,12,Rejected
Sick Leave,3,11,1,8,Approved
Annual Leave,5,8,2,1,Approved
Annual Leave,7,11,6,6,Rejected
Annual Leave,7,12,6,9,Rejected
Sick Leave,3,10,0,13,Approved
Sick Leave,5,8,4,14,Approved
Casual Leave,4,6,5,3,Approved
Casual Leave,5,5,2,3,Approved
Casual Leave,2,10,6,15,Approved
Sick Leave,3,11,4,7,Approved
Annual Leave,7,3,3,9,Rejected
Sick Leave,5,10,4,4,Rejected
Annual Leave,14,5,6,15,Rejected
Sick Leave,5,10,3,7,Approved
Sick Leave,5,9,4,10,Approved
Sick Leave,2,2,3,8,Approved
Annual Leave,21,2,1,9,Approved
Sick Leave,1,1,2,1,Approved
Sick Leave,3,10,6,12,Rejected
Annual Leave,14,1,6,14,Rejected
Annual Leave,5,5,3,9,Approved
Annual Leave,5,5,0,12,Rejected
Annual Leave,10,6,1,6,Rejected
Casual Leave,3,1,4,11,Rejected
Casual Leave,3,9,4,8,Rejected
Sick Leave,5,3,6,7,Rejected
Annual Leave,10,2,3,11,Rejected
Annual Leave,10,9,2,7,Rejected
Sick Leave,1,1,2,15,Approved
Annual Leave,10,12,1,13,Rejected
Casual Leave,1,4,6,11,Approved
Sick Leave,3,8,0,6,Approved
Annual Leave,14,4,4,6,Rejected
Casual Leave,1,3,0,0,Rejected
Sick Leave,3,12,3,3,Approved
Sick Leave,2,12,6,9,Approved
Casual Leave,2,2,0,10,Approved
Annual Leave,10,10,3,3,Rejected
Casual Leave,3,8,3,13,Approved
Sick Leave,3,2,3,3,Approved
Annual Leave,21,7,6,1,Approved
Casual Leave,3,9,2,3,Approved
Casual Leave,4,12,6,9,Approved
Sick Leave,2,12,4,6,Approved
Sick Leave,1,10,0,2,Approved
Sick Leave,1,6,3,3,Approved
Sick Leave,7,1,1,9,Approved
Sick Leave,2,3,3,7,Approved
Casual Leave,2,2,6,10,Approved
Sick Leave,1,10,3,11,Approved
Annual Leave,10,6,1,10,Rejected
Sick Leave,1,2,1,8,Approved
Annual Leave,14,8,5,10,Approved
Sick Leave,2,6,4,2,Approved
Annual Leave,7,7,3,1,Approved
Sick Leave,2,6,5,2,Approved
Casual Leave,2,6,2,12,Approved
Annual Leave,10,7,2,8,Rejected
Annual Leave,3,12,5,12,Approved
Annual Leave,10,12,5,2,Approved
Sick Leave,1,4,1,4,Approved
Annual Leave,5,7,1,5,Approved
Annual Leave,10,4,3,9,Approved
Annual Leave,10,8,3,9,Approved
Annual Leave,7,8,6,11,Rejected
Annual Leave,3,3,6,13,Rejected
Casual Leave,1,4,3,2,Approved
Casual Leave,3,12,6,4,Rejected
Annual Leave,3,12,4,13,Rejected
Casual Leave,2,10,4,0,Approved
Casual Leave,2,3,5,2,Approved
Casual Leave,1,6,2,0,Approved
Casual Leave,3,9,2,5,Rejected
Sick Leave,4,5,1,1,Approved
Annual Leave,14,4,2,11,Rejected
Casual Leave,2,6,1,15,Rejected
Annual Leave,5,3,4,9,Rejected
Casual Leave,3,6,3,1,Approved
Annual Leave,21,7,2,5,Rejected
Casual Leave,2,6,3,1,Rejected
Casual Leave,1,7,2,8,Approved
Annual Leave,10,8,1,9,Approved
Sick Leave,3,11,6,10,Approved
Annual Leave,10,4,0,6,Rejected
Sick Leave,10,2,2,12,Approved
Casual Leave,1,8,5,11,Approved
Sick Leave,1,9,1,9,Approved
Annual Leave,10,5,1,9,Rejected
Sick Leave,3,2,0,8,Approved
Casual Leave,1,8,1,12,Approved
Annual Leave,10,3,2,10,Rejected
Sick Leave,2,8,0,8,Approved
Annual Leave,7,6,1,5,Approved
Casual Leave,1,4,1,11,Approved
Casual Leave,3,3,2,11,Rejected
Casual Leave,3,9,3,8,Approved
Casual Leave,2,3,1,12,Approved
Annual Leave,5,3,2,10,Approved
Annual Leave,14,10,2,15,Rejected
Casual Leave,3,11,6,7,Approved
Annual Leave,7,2,1,0,Approved
Sick Leave,10,9,1,10,Approved
Annual Leave,10,12,5,8,Approved
Sick Leave,2,12,5,15,Rejected
