department,leaveType,leaveDuration,month,dayOfWeek,previousLeavesTaken,ageYears,tenureMonths,attendanceReliability,status
Administration,Casual Leave,1,7,1,0,33,156,94.8,Approved
Administration,Casual Leave,1,7,1,0,50,216,93.1,Rejected
Health & Safety,Sick Leave,1,7,2,0,38,216,85.7,Approved
Health & Safety,Sick Leave,1,7,3,0,39,168,96.3,Approved
Health & Safety,Sick Leave,1,7,3,1,33,156,89.4,Approved
Health & Safety,Sick Leave,1,7,4,1,38,216,89.2,Approved
Health & Safety,Sick Leave,1,7,4,0,28,36,95.4,Approved
Health & Safety,Sick Leave,1,7,4,0,36,132,86.9,Approved
Administration,Casual Leave,5,7,0,0,34,168,83.7,Approved
Health & Safety,Sick Leave,1,7,0,0,37,168,92.0,Rejected
Health & Safety,Sick Leave,1,7,0,1,36,132,89.1,Approved
Health & Safety,Sick Leave,1,7,1,2,36,132,87.2,Approved
Health & Safety,Sick Leave,1,7,2,3,36,132,99.3,Approved
Health & Safety,Sick Leave,1,7,2,2,38,216,88.9,Approved
Health & Safety,Sick Leave,1,7,2,3,38,216,92.8,Approved
Health & Safety,Sick Leave,1,7,4,0,41,192,100.0,Approved
Operations,Annual Leave,1,7,0,4,38,216,94.4,Approved
Health & Safety,Sick Leave,1,7,3,0,33,156,75.3,Approved
Health & Safety,Sick Leave,1,8,2,0,47,168,86.2,Rejected
Health & Safety,Sick Leave,1,8,2,0,28,48,85.8,Approved
Health & Safety,Sick Leave,1,8,0,5,38,216,80.2,Rejected
Health & Safety,Sick Leave,5,8,0,1,28,36,88.4,Approved
Health & Safety,Sick Leave,1,8,4,4,36,132,92.4,Approved
Operations,Annual Leave,1,8,0,2,33,156,98.1,Rejected
Health & Safety,Sick Leave,1,8,0,2,28,36,93.5,Rejected
Health & Safety,Sick Leave,1,8,1,2,33,156,86.5,Approved
Health & Safety,Sick Leave,1,8,2,0,29,72,95.5,Approved
Operations,Annual Leave,1,8,2,3,33,156,81.8,Approved
Health & Safety,Sick Leave,1,8,4,5,38,216,91.6,Approved
Operations,Annual Leave,1,8,0,6,38,216,90.5,Approved
Operations,Annual Leave,1,8,3,0,48,144,90.1,Approved
Health & Safety,Sick Leave,1,8,3,0,37,168,92.9,Rejected
Operations,Annual Leave,1,8,0,1,48,144,80.2,Approved
Health & Safety,Sick Leave,1,8,0,7,38,216,81.1,Approved
Health & Safety,Sick Leave,1,8,0,2,28,36,90.1,Approved
Operations,Annual Leave,1,8,1,4,33,156,90.8,Approved
Health & Safety,Sick Leave,1,8,3,0,32,144,93.8,Approved
Health & Safety,Sick Leave,1,8,4,2,48,144,88.0,Approved
Health & Safety,Sick Leave,1,8,4,5,36,132,72.7,Approved
Health & Safety,Sick Leave,1,9,1,0,27,84,88.0,Approved
Health & Safety,Sick Leave,1,9,0,0,37,120,90.2,Approved
Health & Safety,Sick Leave,1,9,1,8,38,216,85.3,Approved
Administration,Casual Leave,1,9,1,0,43,156,85.0,Approved
Health & Safety,Sick Leave,1,9,2,1,34,168,68.4,Approved
Health & Safety,Sick Leave,1,9,0,1,37,120,82.1,Rejected
Health & Safety,Sick Leave,1,9,1,9,38,216,86.3,Approved
Health & Safety,Sick Leave,1,9,3,0,40,144,92.3,Approved
Health & Safety,Sick Leave,1,9,4,6,36,132,80.3,Approved
Health & Safety,Sick Leave,4,9,0,1,40,144,85.3,Approved
Administration,Casual Leave,1,9,0,7,36,132,78.8,Rejected
Administration,Casual Leave,1,9,0,0,28,108,85.6,Rejected
Health & Safety,Sick Leave,1,9,1,0,28,108,78.1,Approved
Health & Safety,Sick Leave,1,9,1,1,37,120,81.2,Rejected
Administration,Casual Leave,1,9,1,5,33,156,82.1,Rejected
Administration,Casual Leave,1,9,1,0,50,216,98.1,Rejected
Operations,Annual Leave,1,9,2,1,28,108,94.1,Approved
Health & Safety,Sick Leave,1,9,2,10,38,216,94.5,Approved
Administration,Casual Leave,1,9,2,0,31,144,87.9,Rejected
Health & Safety,Sick Leave,1,9,4,0,47,168,89.2,Rejected
Health & Safety,Sick Leave,1,9,4,11,38,216,82.3,Approved
Health & Safety,Sick Leave,1,9,4,7,36,132,84.5,Approved
Health & Safety,Sick Leave,1,10,1,12,38,216,91.2,Approved
Health & Safety,Sick Leave,1,10,1,1,37,120,92.8,Rejected
Administration,Casual Leave,1,10,2,0,50,216,91.9,Rejected
Health & Safety,Sick Leave,1,10,3,0,30,108,97.8,Approved
Health & Safety,Sick Leave,1,10,4,13,38,216,91.0,Rejected
Health & Safety,Sick Leave,1,10,4,2,28,108,93.3,Approved
Health & Safety,Sick Leave,1,10,2,3,28,108,92.7,Approved
Health & Safety,Sick Leave,1,10,2,0,47,168,100.0,Approved
Health & Safety,Sick Leave,1,10,3,2,40,144,93.7,Approved
Health & Safety,Sick Leave,1,10,2,13,38,216,85.2,Approved
Health & Safety,Sick Leave,1,10,2,4,28,108,99.6,Approved
Administration,Casual Leave,2,10,3,8,36,132,88.1,Approved
Health & Safety,Sick Leave,1,10,1,3,40,144,84.3,Approved
Health & Safety,Sick Leave,1,10,1,5,28,108,95.2,Rejected
Administration,Casual Leave,1,10,2,5,33,156,84.9,Approved
Health & Safety,Sick Leave,1,10,4,3,28,36,89.3,Approved
Health & Safety,Sick Leave,1,10,4,9,36,132,92.4,Approved
Health & Safety,Sick Leave,1,11,3,14,38,216,82.7,Rejected
Health & Safety,Sick Leave,1,11,2,5,28,108,77.8,Approved
Health & Safety,Sick Leave,1,11,3,14,38,216,86.0,Approved
Operations,Annual Leave,1,11,3,0,40,204,90.5,Approved
Health & Safety,Sick Leave,1,11,3,4,40,144,94.3,Approved
Health & Safety,Sick Leave,4,11,0,2,34,168,82.7,Approved
Health & Safety,Sick Leave,1,11,0,1,33,156,89.0,Approved
Health & Safety,Sick Leave,5,11,0,5,40,144,80.6,Approved
Health & Safety,Sick Leave,1,11,4,3,34,168,86.9,Approved
Health & Safety,Sick Leave,1,11,2,6,28,108,79.9,Approved
Operations,Annual Leave,1,11,2,1,40,204,93.3,Approved
