employeeRef,reasonCode,monthRaw,dayRaw,hoursRaw,ageRaw,serviceYears,disciplinary,hitTarget,workload
11.0,26.0,7.0,3.0,4.0,33.0,13.0,0.0,97.0,239.554
36.0,0.0,7.0,3.0,0.0,50.0,18.0,1.0,97.0,239.554
3.0,23.0,7.0,4.0,2.0,38.0,18.0,0.0,97.0,239.554
7.0,7.0,7.0,5.0,4.0,39.0,14.0,0.0,97.0,239.554
11.0,23.0,7.0,5.0,2.0,33.0,13.0,0.0,97.0,239.554
3.0,23.0,7.0,6.0,2.0,38.0,18.0,0.0,97.0,239.554
10.0,22.0,7.0,6.0,8.0,28.0,3.0,0.0,97.0,239.554
20.0,23.0,7.0,6.0,4.0,36.0,11.0,0.0,97.0,239.554
14.0,19.0,7.0,2.0,40.0,34.0,14.0,0.0,97.0,239.554
1.0,22.0,7.0,2.0,8.0,37.0,14.0,0.0,97.0,239.554
20.0,1.0,7.0,2.0,8.0,36.0,11.0,0.0,97.0,239.554
20.0,1.0,7.0,3.0,8.0,36.0,11.0,0.0,97.0,239.554
20.0,11.0,7.0,4.0,8.0,36.0,11.0,0.0,97.0,239.554
3.0,11.0,7.0,4.0,1.0,38.0,18.0,0.0,97.0,239.554
3.0,23.0,7.0,4.0,4.0,38.0,18.0,0.0,97.0,239.554
24.0,14.0,7.0,6.0,8.0,41.0,16.0,0.0,97.0,239.554
3.0,23.0,7.0,6.0,2.0,38.0,18.0,0.0,97.0,239.554
3.0,21.0,7.0,2.0,8.0,38.0,18.0,0.0,97.0,239.554
6.0,11.0,7.0,5.0,8.0,33.0,13.0,0.0,97.0,239.554
33.0,23.0,8.0,4.0,2.0,47.0,14.0,0.0,92.0,205.917
18.0,10.0,8.0,4.0,8.0,28.0,4.0,0.0,92.0,205.917
3.0,11.0,8.0,2.0,1.0,38.0,18.0,0.0,92.0,205.917
10.0,13.0,8.0,2.0,40.0,28.0,3.0,0.0,92.0,205.917
20.0,28.0,8.0,6.0,4.0,36.0,11.0,0.0,92.0,205.917
11.0,18.0,8.0,2.0,8.0,33.0,13.0,0.0,92.0,205.917
10.0,25.0,8.0,2.0,7.0,28.0,3.0,0.0,92.0,205.917
11.0,23.0,8.0,3.0,1.0,33.0,13.0,0.0,92.0,205.917
30.0,28.0,8.0,4.0,4.0,29.0,6.0,0.0,92.0,205.917
11.0,18.0,8.0,4.0,8.0,33.0,13.0,0.0,92.0,205.917
3.0,23.0,8.0,6.0,2.0,38.0,18.0,0.0,92.0,205.917
3.0,18.0,8.0,2.0,8.0,38.0,18.0,0.0,92.0,205.917
2.0,18.0,8.0,5.0,8.0,48.0,12.0,0.0,92.0,205.917
1.0,23.0,8.0,5.0,4.0,37.0,14.0,0.0,92.0,205.917
2.0,18.0,8.0,2.0,8.0,48.0,12.0,0.0,92.0,205.917
3.0,23.0,8.0,2.0,2.0,38.0,18.0,0.0,92.0,205.917
10.0,23.0,8.0,2.0,1.0,28.0,3.0,0.0,92.0,205.917
11.0,24.0,8.0,3.0,8.0,33.0,13.0,0.0,92.0,205.917
19.0,11.0,8.0,5.0,4.0,32.0,12.0,0.0,92.0,205.917
2.0,28.0,8.0,6.0,8.0,48.0,12.0,0.0,92.0,205.917
20.0,23.0,8.0,6.0,4.0,36.0,11.0,0.0,92.0,205.917
27.0,23.0,9.0,3.0,2.0,27.0,7.0,0.0,92.0,241.476
34.0,23.0,9.0,2.0,4.0,37.0,10.0,0.0,92.0,241.476
3.0,23.0,9.0,3.0,4.0,38.0,18.0,0.0,92.0,241.476
5.0,19.0,9.0,3.0,8.0,43.0,13.0,0.0,92.0,241.476
14.0,23.0,9.0,4.0,2.0,34.0,14.0,0.0,92.0,241.476
34.0,23.0,9.0,2.0,3.0,37.0,10.0,0.0,92.0,241.476
3.0,23.0,9.0,3.0,3.0,38.0,18.0,0.0,92.0,241.476
15.0,23.0,9.0,5.0,4.0,40.0,12.0,0.0,92.0,241.476
20.0,22.0,9.0,6.0,8.0,36.0,11.0,0.0,92.0,241.476
15.0,14.0,9.0,2.0,32.0,40.0,12.0,0.0,92.0,241.476
20.0,0.0,9.0,2.0,0.0,36.0,11.0,1.0,92.0,241.476
29.0,0.0,9.0,2.0,0.0,28.0,9.0,1.0,92.0,241.476
28.0,23.0,9.0,3.0,2.0,28.0,9.0,0.0,92.0,241.476
34.0,23.0,9.0,3.0,2.0,37.0,10.0,0.0,92.0,241.476
11.0,0.0,9.0,3.0,0.0,33.0,13.0,1.0,92.0,241.476
36.0,0.0,9.0,3.0,0.0,50.0,18.0,1.0,92.0,241.476
28.0,18.0,9.0,4.0,3.0,28.0,9.0,0.0,92.0,241.476
3.0,23.0,9.0,4.0,3.0,38.0,18.0,0.0,92.0,241.476
13.0,0.0,9.0,4.0,0.0,31.0,12.0,1.0,92.0,241.476
33.0,23.0,9.0,6.0,1.0,47.0,14.0,0.0,92.0,241.476
3.0,23.0,9.0,6.0,3.0,38.0,18.0,0.0,92.0,241.476
20.0,23.0,9.0,6.0,4.0,36.0,11.0,0.0,92.0,241.476
3.0,23.0,10.0,3.0,3.0,38.0,18.0,0.0,93.0,253.465
34.0,23.0,10.0,3.0,3.0,37.0,10.0,0.0,93.0,253.465
36.0,0.0,10.0,4.0,0.0,50.0,18.0,1.0,93.0,253.465
22.0,23.0,10.0,5.0,1.0,30.0,9.0,0.0,93.0,253.465
3.0,23.0,10.0,6.0,3.0,38.0,18.0,0.0,93.0,253.465
28.0,23.0,10.0,6.0,3.0,28.0,9.0,0.0,93.0,253.465
34.0,23.0,10.0,3.0,3.0,37.0,10.0,0.0,93.0,253.465
28.0,23.0,10.0,4.0,2.0,28.0,9.0,0.0,93.0,253.465
33.0,23.0,10.0,4.0,2.0,47.0,14.0,0.0,93.0,253.465
15.0,23.0,10.0,5.0,5.0,40.0,12.0,0.0,93.0,253.465
3.0,23.0,10.0,4.0,8.0,38.0,18.0,0.0,93.0,253.465
28.0,23.0,10.0,4.0,3.0,28.0,9.0,0.0,93.0,253.465
20.0,19.0,10.0,5.0,16.0,36.0,11.0,0.0,93.0,253.465
15.0,14.0,10.0,3.0,8.0,40.0,12.0,0.0,93.0,253.465
28.0,28.0,10.0,3.0,2.0,28.0,9.0,0.0,93.0,253.465
11.0,26.0,10.0,4.0,8.0,33.0,13.0,0.0,93.0,253.465
10.0,23.0,10.0,6.0,1.0,28.0,3.0,0.0,93.0,253.465
20.0,28.0,10.0,6.0,3.0,36.0,11.0,0.0,93.0,253.465
3.0,23.0,11.0,5.0,1.0,38.0,18.0,0.0,93.0,306.345
28.0,23.0,11.0,4.0,1.0,28.0,9.0,0.0,93.0,306.345
3.0,13.0,11.0,5.0,8.0,38.0,18.0,0.0,93.0,306.345
17.0,21.0,11.0,5.0,8.0,40.0,17.0,0.0,93.0,306.345
15.0,23.0,11.0,5.0,5.0,40.0,12.0,0.0,93.0,306.345
14.0,10.0,11.0,2.0,32.0,34.0,14.0,0.0,93.0,306.345
6.0,22.0,11.0,2.0,8.0,33.0,13.0,0.0,93.0,306.345
15.0,14.0,11.0,2.0,40.0,40.0,12.0,0.0,93.0,306.345
28.0,23.0,11.0,4.0,1.0,28.0,9.0,0.0,93.0,306.345
14.0,6.0,11.0,6.0,8.0,34.0,14.0,0.0,93.0,306.345
28.0,23.0,11.0,4.0,3.0,28.0,9.0,0.0,93.0,306.345
17.0,21.0,11.0,4.0,8.0,40.0,17.0,0.0,93.0,306.345
28.0,13.0,11.0,6.0,3.0,28.0,9.0,0.0,93.0,306.345
20.0,28.0,11.0,6.0,4.0,36.0,11.0,0.0,93.0,306.345
33.0,28.0,11.0,2.0,1.0,47.0,14.0,0.0,93.0,306.345
28.0,28.0,11.0,3.0,3.0,28.0,9.0,0.0,93.0,306.345
11.0,7.0,11.0,4.0,24.0,33.0,13.0,0.0,93.0,306.345
15.0,23.0,11.0,5.0,3.0,40.0,12.0,0.0,93.0,306.345
33.0,23.0,12.0,3.0,1.0,47.0,14.0,0.0,97.0,261.306
34.0,19.0,12.0,3.0,64.0,37.0,10.0,0.0,97.0,261.306
36.0,23.0,12.0,4.0,2.0,50.0,18.0,0.0,97.0,261.306
1.0,26.0,12.0,4.0,8.0,37.0,14.0,0.0,97.0,261.306
28.0,23.0,12.0,5.0,2.0,28.0,9.0,0.0,97.0,261.306
20.0,26.0,12.0,6.0,8.0,36.0,11.0,0.0,97.0,261.306
34.0,19.0,12.0,3.0,56.0,37.0,10.0,0.0,97.0,261.306
10.0,22.0,12.0,4.0,8.0,28.0,3.0,0.0,97.0,261.306
28.0,28.0,12.0,5.0,3.0,28.0,9.0,0.0,97.0,261.306
20.0,28.0,12.0,6.0,3.0,36.0,11.0,0.0,97.0,261.306
28.0,23.0,12.0,3.0,2.0,28.0,9.0,0.0,97.0,261.306
10.0,22.0,12.0,4.0,8.0,28.0,3.0,0.0,97.0,261.306
34.0,27.0,12.0,6.0,2.0,37.0,10.0,0.0,97.0,261.306
24.0,19.0,12.0,6.0,8.0,41.0,16.0,0.0,97.0,261.306
28.0,23.0,12.0,6.0,2.0,28.0,9.0,0.0,97.0,261.306
28.0,23.0,1.0,4.0,1.0,28.0,9.0,0.0,95.0,308.593
34.0,19.0,1.0,2.0,1.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,3.0,1.0,37.0,10.0,0.0,95.0,308.593
14.0,18.0,1.0,3.0,8.0,34.0,14.0,0.0,95.0,308.593
28.0,27.0,1.0,4.0,2.0,28.0,9.0,0.0,95.0,308.593
27.0,23.0,1.0,5.0,2.0,27.0,7.0,0.0,95.0,308.593
28.0,28.0,1.0,5.0,2.0,28.0,9.0,0.0,95.0,308.593
28.0,27.0,1.0,6.0,1.0,28.0,9.0,0.0,95.0,308.593
34.0,27.0,1.0,2.0,2.0,37.0,10.0,0.0,95.0,308.593
28.0,27.0,1.0,3.0,2.0,28.0,9.0,0.0,95.0,308.593
34.0,27.0,1.0,3.0,2.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,4.0,2.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,5.0,2.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,6.0,2.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,2.0,2.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,3.0,2.0,37.0,10.0,0.0,95.0,308.593
22.0,18.0,1.0,3.0,8.0,30.0,9.0,0.0,95.0,308.593
11.0,18.0,1.0,3.0,8.0,33.0,13.0,0.0,95.0,308.593
34.0,27.0,1.0,4.0,2.0,37.0,10.0,0.0,95.0,308.593
27.0,23.0,1.0,5.0,2.0,27.0,7.0,0.0,95.0,308.593
34.0,27.0,1.0,5.0,2.0,37.0,10.0,0.0,95.0,308.593
34.0,27.0,1.0,2.0,0.0,37.0,10.0,0.0,95.0,308.593
28.0,23.0,1.0,3.0,1.0,28.0,9.0,0.0,95.0,308.593
